0 112 
1 96.02 
2 81.72 
3 91.2 
4 92.38 
5 89.2 
6 106.7 
7 99.92 
8 130.42 
9 90.34 
10 97.38 
11 101.98 
12 82.5 
13 101.54 
14 86.04 
15 113.74 
16 97.32 
17 94.88 
18 94.42 
19 80.4 
20 87.98 
21 120.56 
22 87.6 
23 99.1 
24 97.2 
25 110.82 
26 110.96 
27 93.86 
28 132.36 
29 90.38 
30 87.44 
31 82.7 
32 79.68 
33 109.6 
34 95.7 
35 102.96 
36 100.82 
37 96.18 
38 100.4 
39 80.36 
40 111.58 
41 100.68 
42 80.78 
43 89.72 
44 93 
45 135.44 
46 92.22 
47 106.5 
48 115.62 
49 84.24 
50 96.02 
51 129.52 
52 106.16 
53 98.9 
54 104.44 
55 95.82 
56 87.22 
57 102.74 
58 110.7 
59 100 
60 114.22 
61 114.5 
62 108.62 
63 108.12 
64 100.78 
65 128.12 
66 131.54 
67 103.98 
68 82.32 
69 108.76 
70 103.52 
71 110.64 
72 91.74 
73 126.74 
74 107.3 
75 87.08 
76 82.44 
77 106.04 
78 95.88 
79 73 
80 90.72 
81 81.18 
82 106.12 
83 83.14 
84 100.56 
85 104.48 
86 93.36 
87 121.9 
88 76.86 
89 93.6 
90 103.7 
91 97.3 
92 114.98 
93 114.24 
94 86.08 
95 88.54 
96 94.76 
97 110.46 
98 127.22 
99 82.84 
